Mag X	Mag Y	Mag Z		
133.5	294	310.5	116.5	253.5
127.5	291	316.5	110.5	259.5
126	283.5	310.5	109	253.5
121.5	289.5	318	104.5	261
102	288	316.5	85	259.5
96	292.5	330	79	273
76.5	286.5	333	59.5	276
63	289.5	337.5	46	280.5
40.5	288	339	23.5	282
25.5	283.5	342	8.5	285
-1.5	289.5	340.5	-18.5	283.5
-15	295.5	340.5	-32	283.5
-34.5	291	334.5	-51.5	277.5
-40.5	288	336	-57.5	279
-57	292.5	330	-74	273
-79.5	289.5	331.5	-96.5	274.5
-87	288	319.5	-104	262.5
-99	285	316.5	-116	259.5
-115.5	295.5	315	-132.5	258
-129	300	300	-146	243
-145.5	298.5	297	-162.5	240
-157.5	294	288	-174.5	231
-177	292.5	274.5	-194	217.5
-186	303	264	-203	207
-201	298.5	259.5	-218	202.5
-202.5	304.5	244.5	-219.5	187.5
-214.5	300	234	-231.5	177
-222	300	216	-239	159
-232.5	300	211.5	-249.5	154.5
-234	310.5	199.5	-251	142.5
-234	304.5	196.5	-251	139.5
-238.5	300	192	-255.5	135
-243	303	180	-260	123
-247.5	306	165	-264.5	108
-250.5	315	151.5	-267.5	94.5
-258	307.5	139.5	-275	82.5
-258	306	132	-275	75
-267	306	127.5	-284	70.5
-258	312	112.5	-275	55.5
-262.5	304.5	114	-279.5	57
-268.5	312	100.5	-285.5	43.5
-261	306	91.5	-278	34.5
-265.5	310.5	76.5	-282.5	19.5
-267	312	69	-284	12
-264	310.5	58.5	-281	1.5
-265.5	312	49.5	-282.5	-7.5
-270	310.5	51	-287	-6
-262.5	315	51	-279.5	-6
-264	306	46.5	-281	-10.5
-258	315	25.5	-275	-31.5
-256.5	316.5	15	-273.5	-42
-258	312	6	-275	-51
-261	310.5	0	-278	-57
-256.5	322.5	-3	-273.5	-60
-258	321	-4.5	-275	-61.5
-256.5	319.5	1.5	-273.5	-55.5
-256.5	316.5	0	-273.5	-57
-256.5	324	-1.5	-273.5	-58.5
-252	310.5	1.5	-269	-55.5
-262.5	316.5	1.5	-279.5	-55.5
-256.5	312	-4.5	-273.5	-61.5
-256.5	309	-1.5	-273.5	-58.5
-256.5	312	-1.5	-273.5	-58.5
-256.5	318	0	-273.5	-57
-258	315	1.5	-275	-55.5
